City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Bozeman,US,5/22/2021 22:58,45.6796,-111.0386,38.68,82,50,3.83
191,Henties Bay,NA,5/22/2021 23:00,-22.116,14.2845,72.43,46,0,3.76
192,San Felipe,VE,5/22/2021 22:57,10.3399,-68.7425,74.88,90,64,5.55
193,Puerto Leguizamo,CO,5/22/2021 23:00,-0.1934,-74.7819,75.2,95,50,1.95
194,Baker City,US,5/22/2021 23:02,44.7749,-117.8344,50.94,81,90,9.22
195,Leningradskiy,RU,5/22/2021 22:58,69.3833,178.4167,32.72,92,100,11.77
196,Heyang,CN,5/22/2021 23:02,26.1011,107.473,65.66,99,100,2.8
197,Laguna De Perlas,NI,5/22/2021 23:02,12.3429,-83.6712,79.75,87,100,13.02
198,Hokitika,NZ,5/22/2021 22:58,-42.7167,170.9667,51.13,55,100,0.96
199,Mogzon,RU,5/22/2021 23:02,51.7435,111.9606,39.45,62,100,12.64
200,Datong,CN,5/22/2021 23:02,40.0936,113.2914,55.92,29,80,8.61
201,Tromso,NO,5/22/2021 23:02,69.6496,18.957,35.62,51,20,11.5
202,Paamiut,GL,5/22/2021 22:59,61.994,-49.6678,32.34,55,11,2.3
203,Caravelas,BR,5/22/2021 22:58,-17.7125,-39.2481,75.29,75,72,9.04
204,Kigoma,TZ,5/22/2021 23:02,-4.8769,29.6267,73.78,75,35,3.71
205,Salalah,OM,5/22/2021 22:58,17.0151,54.0924,80.51,80,9,2.89
206,Kisangani,CD,5/22/2021 23:02,0.5167,25.2,70.29,99,95,4.68
207,Vanimo,PG,5/22/2021 22:59,-2.6741,141.3028,82.44,74,97,2.28
208,Chadiza,ZM,5/22/2021 23:02,-14.0678,32.4392,55.22,67,0,4.85
209,Dzyhivka,UA,5/22/2021 23:02,48.359,28.3158,58.66,88,99,4
210,Cherskiy,RU,5/22/2021 23:02,68.75,161.3,36.77,63,24,5.57
211,Arraial Do Cabo,BR,5/22/2021 23:02,-22.9661,-42.0278,74.3,81,74,11.79
212,Quatre Cocos,MU,5/22/2021 23:02,-20.2078,57.7625,69.1,72,82,17.4
213,Longyearbyen,SJ,5/22/2021 23:02,78.2186,15.6401,24.64,63,20,10.36
214,Bisira,PA,5/22/2021 23:02,8.5196,-81.7115,65.1,89,100,4.52
215,Tura,IN,5/22/2021 22:59,25.5198,90.2201,77.41,80,99,1.7
216,Sur,OM,5/22/2021 23:02,22.5667,59.5289,87.67,51,0,8.19
217,Doha,QA,5/22/2021 23:01,25.2867,51.5333,87.13,74,0,0
218,Gambela,ET,5/22/2021 23:02,8.25,34.5833,75.88,74,97,2.8
219,Cidreira,BR,5/22/2021 23:02,-30.1811,-50.2056,61.57,80,9,11.25
220,Mizdah,LY,5/22/2021 23:02,31.4451,12.9801,67.37,59,0,13.29
221,Pangody,RU,5/22/2021 23:02,65.85,74.4859,60.53,69,100,14.63
222,Conceicao Da Barra,BR,5/22/2021 23:02,-18.5933,-39.7322,75.61,77,40,9.31
223,Jijiga,ET,5/22/2021 23:02,9.35,42.8,63.63,65,9,5.88
224,Fort Nelson,CA,5/22/2021 22:59,58.8053,-122.7002,67.59,26,75,2.3
225,Port Alfred,ZA,5/22/2021 23:02,-33.5906,26.891,56.82,71,10,12.77
226,Matamoros,MX,5/22/2021 23:01,25.5333,-103.25,94.1,14,23,16.62
227,Avera,US,5/22/2021 23:00,33.194,-82.5271,85.91,50,99,4.43
228,Rock Hill,US,5/22/2021 23:02,34.9249,-81.0251,83.79,30,1,0
229,Vardo,NO,5/22/2021 23:03,70.3705,31.1107,34.45,60,100,21.23
230,San Quintin,MX,5/22/2021 23:03,30.4833,-115.95,62.4,56,0,20.11
231,Burgstadt,DE,5/22/2021 23:03,50.9167,12.8167,52.38,87,39,9.78
232,Villa Maria,AR,5/22/2021 23:03,-32.4075,-63.2402,51.82,67,55,22.46
233,Svetlyy,RU,5/22/2021 23:03,54.675,20.1347,50.05,94,86,9.17
234,Farafangana,MG,5/22/2021 23:03,-22.8167,47.8333,70.29,77,96,4.14
235,Noumea,NC,5/22/2021 23:03,-22.2763,166.4572,75.99,99,67,6.67
236,Requena,ES,5/22/2021 23:03,39.4883,-1.1004,58.78,87,83,9.1
237,Port Elizabeth,ZA,5/22/2021 23:03,-33.918,25.5701,49.1,70,2,7.43
238,Kapfenberg,AT,5/22/2021 23:03,47.454,15.2702,51.66,95,100,2.51
239,Gold Coast,AU,5/22/2021 23:03,-28,153.4333,69.21,75,4,7
240,Verkhovazhye,RU,5/22/2021 23:03,60.7472,42.0465,51.69,92,99,10.16
241,Araouane,ML,5/22/2021 23:03,18.9048,-3.5265,94.1,19,40,12.26
242,Arman,RU,5/22/2021 22:59,59.7,150.1667,38.32,75,100,4.47
243,Bethanien,NA,5/22/2021 23:03,-26.502,17.1583,55.36,25,42,7.67
244,Bamako,ML,5/22/2021 22:58,12.65,-8,93.61,27,20,4.94
245,Mar Del Plata,AR,5/22/2021 23:03,-38.0023,-57.5575,58.08,50,100,13
246,Lamut,PH,5/22/2021 23:03,16.6491,121.2247,78.48,84,43,0.65
247,Rabaul,PG,5/22/2021 23:03,-4.1967,152.1721,82.31,76,98,3.42
248,Sitka,US,5/22/2021 23:03,57.0531,-135.33,48.09,81,90,4.61
249,Inhambane,MZ,5/22/2021 23:03,-23.865,35.3833,69.3,67,18,12.64
250,Kirkuk,IQ,5/22/2021 23:02,35.4681,44.3922,81.81,27,24,15.14
251,Taksimo,RU,5/22/2021 23:03,56.3444,114.8794,42.03,56,99,3.18
252,Mount Gambier,AU,5/22/2021 22:58,-37.8333,140.7667,46.31,71,100,10.36
253,Korsor,DK,5/22/2021 23:03,55.3299,11.1386,51.98,75,85,24.45
254,Ahuimanu,US,5/22/2021 23:03,21.4447,-157.8378,85.71,61,75,11.5
255,Owando,CG,5/22/2021 23:03,-0.4819,15.8999,71.58,97,98,0.67
256,Mnogovershinnyy,RU,5/22/2021 23:03,53.9353,139.9242,33.84,95,100,4.36
257,Bowen,AU,5/22/2021 23:03,-20.0167,148.2333,71.31,78,66,14.52
258,Taraza,CO,5/22/2021 23:03,7.5836,-75.4007,79.48,93,100,0.6
259,Balykshi,KZ,5/22/2021 23:03,47.0667,51.8667,82.4,21,4,26.84
260,Cape Town,ZA,5/22/2021 23:02,-33.9258,18.4232,54.12,65,6,4.56
261,Nova Olimpia,BR,5/22/2021 23:03,-14.7972,-57.2881,73.6,90,98,3.2
262,Carlos Chagas,BR,5/22/2021 23:03,-17.7031,-40.7664,75.22,61,90,7.9
263,Castro,BR,5/22/2021 22:58,-24.7911,-50.0119,60.84,96,62,6.93
264,Touros,BR,5/22/2021 23:03,-5.1989,-35.4608,77.02,77,7,13.06
265,Bam,IR,5/22/2021 23:03,29.106,58.357,79.45,13,8,3.69
266,Lata,PT,5/22/2021 23:03,40.1629,-8.3327,52.05,87,3,1.9
267,Hornepayne,CA,5/22/2021 23:03,49.2138,-84.7705,51.73,96,100,12.55
268,Eyl,SO,5/22/2021 22:59,7.9803,49.8164,80.38,71,92,21.27
269,Kamaishi,JP,5/22/2021 23:00,39.2667,141.8833,59.95,96,100,3.49
270,Krasnogorsk,RU,5/22/2021 23:01,55.8225,37.3181,57.45,80,0,7.85
271,Santa Cruz,BO,5/22/2021 23:03,-17.8,-63.1667,67.35,42,100,5.35
272,Torbay,CA,5/22/2021 23:03,47.6666,-52.7314,55.76,84,100,18.92
273,Cochrane,CA,5/22/2021 23:03,51.1834,-114.4687,59.4,50,12,15.46
274,Adrar,MR,5/22/2021 22:59,20.5022,-10.0711,89.73,19,5,9.53
275,Luanda,AO,5/22/2021 23:00,-8.8368,13.2343,78.8,89,75,4.61
276,Pangnirtung,CA,5/22/2021 23:03,66.1451,-65.7125,16.95,87,100,7.11
277,Ambilobe,MG,5/22/2021 23:03,-13.2,49.05,66.49,85,26,3.29
278,Karratha,AU,5/22/2021 23:03,-20.7377,116.8463,69.58,32,7,6.4
279,Bet Shemesh,IL,5/22/2021 23:03,31.7496,34.9888,66.09,77,66,4
280,Jiujiang,CN,5/22/2021 23:03,29.7333,115.9833,69.49,99,100,4.61
281,College,US,5/22/2021 23:03,64.8569,-147.8028,51.75,54,90,1.01
282,Saint-Augustin,CA,5/22/2021 23:03,51.226,-58.6502,39.85,97,100,10.33
283,Tomatlan,MX,5/22/2021 23:03,19.9333,-105.25,89.96,37,0,12.44
284,Banda Aceh,ID,5/22/2021 23:01,5.5577,95.3222,80.11,79,100,9.91
285,Lorengau,PG,5/22/2021 23:03,-2.0226,147.2712,83.73,75,93,5.46
286,Semey,KZ,5/22/2021 23:03,50.4111,80.2275,57.11,64,0,3.74
287,Maceio,BR,5/22/2021 23:00,-9.6658,-35.7353,74.64,76,0,8.32
288,Half Moon Bay,US,5/22/2021 23:03,37.4636,-122.4286,78.69,78,1,1.01
289,Berlevag,NO,5/22/2021 23:03,70.8578,29.0864,34.03,60,100,19.13
290,Fukue,JP,5/22/2021 23:03,32.6881,128.8419,67.12,68,14,2.86
291,Changji,CN,5/22/2021 23:03,44.0167,87.3167,57.99,41,0,5.1
292,Cockburn Town,TC,5/22/2021 23:03,21.4612,-71.1419,77.72,76,60,20.74
293,Adana,TR,5/22/2021 23:03,36.985,35.2881,65.8,77,0,8.05
294,Springbok,ZA,5/22/2021 23:03,-29.6643,17.8865,55.36,33,36,9.46
295,Grand Gaube,MU,5/22/2021 22:58,-20.0064,57.6608,73.8,75,37,4
296,Yuci,CN,5/22/2021 23:03,37.6803,112.7319,55.15,41,0,8.61
297,Temozon,MX,5/22/2021 23:03,20.8,-88.2167,80.22,75,100,7.16
298,Ponta Do Sol,PT,5/22/2021 23:03,32.6667,-17.1,65.03,74,100,12.06
299,Lannion,FR,5/22/2021 23:03,48.75,-3.4167,46.38,93,75,8.05
300,Resplendor,BR,5/22/2021 23:03,-19.3256,-41.2553,75.09,63,51,0.89
301,Presidencia Roque Saenz Pena,AR,5/22/2021 23:03,-26.7852,-60.4388,56.91,58,0,3.47
302,Ketchikan,US,5/22/2021 23:02,55.3422,-131.6461,54.72,73,92,8.57
303,Tobol,KZ,5/22/2021 23:03,52.6844,62.5794,69.12,41,49,8.5
304,Harper,LR,5/22/2021 23:03,4.375,-7.7169,79.88,81,89,8.28
305,Jalalpur Pirwala,PK,5/22/2021 23:03,29.5069,71.2192,80.71,45,97,5.08
306,Borehamwood,GB,5/22/2021 23:03,51.6547,-0.2776,48.97,91,79,7.76
307,Turinsk,RU,5/22/2021 23:03,58.0458,63.696,66.72,68,100,12.53
